Ciutat,Variació mensual,Variació tres messos,Variació anual,€/m2,Menos 60 m2 / Menos de 100.000 Euros,Menos 60 m2 / Entre 100.000 Euros y 250.000 Euros,Menos 60 m2 / Más de 250.000 euros,Entre 60 m2 y 120 m2 / Menos de 100.000 Euros,Entre 60 m2 y 120 m2 / Entre 100.000 Euros y 250.000 Euros,Entre 60 m2 y 120 m2 / Más de 250.000 Euros,Más de 120 m2 / Menos de 100.000 euros,Más de 120 m2 / Entre 100.000 euros y 250.000 euros,Más de 120 m2 / Más de 250.000 euros
A Coruña,0.29,1.79,4.65,2.294 ,1.505 ,3.188 ,-,1.086 ,2.044 ,3.398 ,-,1.408 ,2.604 
Ames,0.51,-0.57,-6.11,1.203 ,-,-,-,1.155 ,1.417 ,-,-,983 ,1.113 
Arteixo,-0.65,-1.33,3.11,1.141 ,-,-,-,927 ,1.368 ,-,-,862 ,1.281 
Boiro,0.99,-0.57,-2.34,1.111 ,1.301 ,-,-,1.085 ,1.404 ,-,-,846 ,-
Cambre,0.34,-4.95,-,1.195 ,-,-,-,-,1.479 ,-,-,913 ,1.113 
Carballo,1.48,6.13,-4.07,887 ,-,-,-,779 ,1.367 ,-,546 ,845 ,-
Culleredo,0.93,-2.84,3.91,1.485 ,-,-,-,-,1.741 ,-,-,-,1.259 
Ferrol,-2.66,0.35,0.69,967 ,-,-,-,748 ,1.485 ,-,542 ,967 ,1.388 
Narón,1.11,-0.60,-2.78,1.023 ,-,-,-,787 ,1.318 ,-,-,953 ,1.352 
Oleiros,-2.02,0.39,0.82,1.583 ,-,-,-,954 ,1.782 ,-,-,1.111 ,1.524 
Ribeira,2.78,9.36,9.14,1.211 ,1.380 ,-,-,1.048 ,1.487 ,-,-,895 ,-
Sada (A Coruña),-0.66,1.59,-6.75,1.341 ,1.660 ,-,-,999 ,1.632 ,-,-,1.080 ,1.260 
Santiago de Compostela,1.24,4.03,-3.45,2.001 ,2.046 ,3.069 ,-,1.122 ,1.998 ,3.016 ,-,1.086 ,1.987 
Teo,1.10,-0.27,-1.93,1.085 ,-,-,-,1.135 ,1.442 ,-,-,840 ,1.074 
Albacete,1.05,0.48,1.29,1.419 ,1.141 ,2.524 ,-,924 ,1.597 ,2.756 ,651 ,1.259 ,1.763 
Caudete,-0.32,-0.09,-,768 ,-,-,-,669 ,-,-,509 ,825 ,-
Hellín,5.45,6.72,1.54,964 ,-,-,-,808 ,1.319 ,-,563 ,938 ,-
La Roda,-,4.08,0.07,841 ,-,-,-,783 ,1.192 ,-,536 ,847 ,-
Villarrobledo,1.55,4.50,-3.81,724 ,-,-,-,718 ,-,-,503 ,650 ,-
Alacant/Alicante,0.48,2.59,5.23,1.589 ,1.489 ,2.625 ,-,878 ,1.735 ,3.009 ,672 ,1.264 ,2.074 
Albatera,-2.15,-5.85,11.12,1.044 ,-,-,-,776 ,-,-,-,990 ,-
